IPC	Parent_IPC	Level	Description	Description_EN
A		0	人类生活必需	HUMAN NECESSITIES
A01	A	1	农业；林业；畜牧业；狩猎；诱捕；捕鱼	AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B	A01	2	农业或林业的整地；一般农业机械或农具的部件、零件或附件（用于播种、种植或施厩肥的开挖沟穴或覆盖沟穴入A01C 5/00；收获根作物的机械入A01D；可变换成整地设备或能够整地的割草机入A01D 42/04；与整地机具联合的割草机入A01D 43/12；工程目的的整地入E01，E02，E21）	SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL (making or covering furrows or holes for sowing, planting or manuring A01C 5/00; machines for harvesting root crops A01D; mowers convertible to soil working apparatus or capable of soil working A01D 42/04; mowers combined with soil working implements A01D 43/12; soil working for engineering purposes E01, E02, E21)
A01B1/00	A01B	3	手动工具（草坪修整机入A01G 3/06）	Hand tools (edge trimmers for lawns A01G 3/06)
A01B1/02	A01B1/00	4	锹；铲	Spades; Shovels
A01B1/04	A01B1/02	5	带齿的	with teeth
A01B1/06	A01B1/00	4	锄；手动中耕机	Hoes; Hand cultivators
A01B1/08	A01B1/06	5	带单铲刀的	with a single blade
A01B1/10	A01B1/06	5	带双铲刀或多铲刀的	with two or more blades
A01B1/12	A01B1/06	5	带齿铲刀的	with blades provided with teeth
A01B1/14	A01B1/06	5	只带齿的	with teeth only
A01B1/16	A01B1/00	4	拔草工具	Tools for uprooting weeds
A01B1/18	A01B1/16	5	钳式工具	Tong-like tools
A01B1/20	A01B1/00	4	不同类型手动工具的组合	Combinations of different kinds of hand tools
A01B1/22	A01B1/00	4	把铲刀或类似工作部件固接在手柄上（工具的手柄或其附件一般入B25G）；可更换或可调整的铲刀	Attaching the blades or the like to handles (handles for tools, or their attachment, in general B25G); Interchangeable or adjustable blades
A01B1/24	A01B1/00	4	处理草地或草坪用的 〔2〕	for treating meadows or lawns [2]
A01B11/00	A01B	3	带有振动、挖掘或穿孔工作部件的犁	Ploughs with oscillating, digging or piercing tools
A01B13/00	A01B	3	专门用途的犁或类似的机具（排水用的入E02B 11/02）	Ploughs or like machines for special purposes (for drainage E02B 11/02)
A01B13/02	A01B13/00	4	用于起垅或修垅的，例如带有对称配置的犁壁的	for making or working ridges, e.g. with symmetrically arranged mouldboards
A01B13/04	A01B13/00	4	用于葡萄园、果园等地作业的	for working in vineyards, orchards, or the like
A01B13/06	A01B13/04	5	防止损伤葡萄藤等作物的装置	Arrangements for preventing damage to the vines, or the like
A01B13/08	A01B13/00	4	用于耕整底土的	for working subsoil
A01B13/10	A01B13/08	5	掀起底土层的专用机具	Special implements for lifting subsoil layers
A01B13/12	A01B13/10	6	将底土布于地表的装置	Means for distributing the layers on the surface
A01B13/14	A01B13/00	4	用于耕整两层或多层土壤的	for working soil in two or more layers
A01B13/16	A01B13/00	4	控制土壤侵蚀的机械，例如水槽挖掘机、开沟打埂器	Machines for combating erosion, e.g. basin-diggers, furrow-dammers
A01B15/00	A01B	3	犁的构件、工作部件或零件	Elements, tools, or details of ploughs
A01B15/02	A01B15/00	4	犁刀；固定犁刀的	Plough blades; Fixing the blades
A01B15/04	A01B15/02	5	犁铧	Shares
A01B15/06	A01B15/04	6	可更换或可调整的犁铧	Interchangeable or adjustable shares
A01B15/08	A01B15/02	5	犁壁	Mouldboards
A01B15/10	A01B15/08	6	可更换或可调整的犁壁	Interchangeable or adjustable mouldboards
A01B15/12	A01B15/00	4	犁辕；手柄（工具或其附件的手柄一般入B25G）	Beams; Handles (handles for tools or their attachment in general B25G)
A01B15/14	A01B15/00	4	犁架（简便运输工具或装置入A01B 73/00） 〔4〕	Frames (means or arrangements to facilitate transportation A01B 73/00) [4]
A01B15/16	A01B15/00	4	圆犁刀（其轴承入A01B 71/04）；清理圆犁刀的刮土刀；刃磨附属设备（刃磨一般入B24）	Discs (bearings therefor A01B 71/04); Scrapers for cleaning discs; Sharpening attachments (sharpening in general B24)
A01B15/18	A01B15/00	4	犁刀	Coulters
