申请人,国家,分国专利数
安徽格恩半导体有限公司,中国,1
湖北九峰山实验室,中国,5
北京中材人工晶体研究院有限公司 | 中材人工晶体研究院有限公司,中国,2
广西电网有限责任公司桂林供电局,中国,2
中国科学院半导体研究所,中国,5
山东大学,中国,24
西安交通大学,中国,3
郑州大学 | 中原关键金属实验室,中国,3
中国电子科技集团公司第四十六研究所,中国,22
天津工业大学,中国,2
北京铭镓半导体有限公司,中国,15
安徽科瑞思创晶体材料有限责任公司,中国,8
安徽大学,中国,1
电子科技大学,中国,7
中国科学院上海光学精密机械研究所,中国,16
福州大学,中国,3
云南大学,中国,1
南京邮电大学,中国,5
同济大学,中国,12
上海引万光电科技有限公司,中国,1
云南中科鑫圆晶体材料有限公司,中国,2
华侨大学,中国,3
西安电子科技大学芜湖研究院 | 西安电子科技大学,中国,2
浙江大晟新能源科技有限公司,中国,1
复旦大学,中国,7
香港科技大学(广州),中国,1
西安邮电大学,中国,3
吉林大学,中国,4
南京大学,中国,15
信越化学工业株式会社 | 国立大学法人 和歌山大学,日本,4
中国电子科技集团公司第十三研究所,中国,7
上海大学 | 上海大学绍兴研究院,中国,1
中山大学,中国,7
广东伟智创科技有限公司,中国,3
杭州镓仁半导体有限公司,中国,13
厦门大学,中国,6
ASM IP控股公司,美国,2
湖南新锋科技有限公司,中国,1
武汉大学,中国,3
杭州富加镓业科技有限公司,中国,35
大连理工大学,中国,4
芯越微电子材料(嘉兴)有限公司,中国,1
西安电子科技大学,中国,18
俄亥俄州国家创新基金会,世界知识产权组织,3
西南技术物理研究所,中国,1
常州锦钿半导体科技有限公司,中国,1
苏州镓和半导体有限公司 | 广州海创产业技术研究院,中国,1
青岛华芯晶电科技有限公司,中国,5
吉林省科技创新研究院,中国,1
中北大学,中国,2
青岛科技大学,中国,1
华北电力大学,中国,1
信越化学工业株式会社,世界知识产权组织,4
杭州电子科技大学,中国,3
巨玻固能(苏州)薄膜材料有限公司,中国,1
松山湖材料实验室 | 广东中民工业技术创新研究院有限公司,中国,1
中国科学技术大学,中国,1
苏州镓和半导体有限公司,中国,9
江苏南大光电材料股份有限公司,中国,3
南卡罗来纳大学,美国,1
窑业技术院,中国,1
窑业技术院,韩国,13
株式会社奈瑟斯比,世界知识产权组织,1
株式会社奈瑟斯比,韩国,1
LAKE MATERIALS,韩国,2
季华实验室,中国,1
ORBRAY株式会社,日本,8
深圳大学,中国,4
江苏微导纳米科技股份有限公司,中国,1
北京工业大学,中国,11
深圳市鲁光电子科技有限公司,中国,1
LAKE MATERIALS,世界知识产权组织,1
鲁东大学,中国,5
中国科学院长春光学精密机械与物理研究所,中国,14
上海大学,中国,5
华南理工大学,中国,3
福州大学 | 福建致卓光电科技有限公司,中国,2
长春理工大学,中国,7
安徽华晟新能源科技股份有限公司,中国,1
ORBRAY株式会社,美国,1
合肥仙湖半导体科技有限公司,中国,2
南通沃太新能源有限公司,中国,2
三星显示器有限公司,中国,1
福建晶旭半导体科技有限公司,中国,4
重庆师范大学,中国,1
京东方华灿光电(苏州)有限公司,中国,1
湖北大学 | 广州金升阳科技有限公司,中国,1
株式会社爱发科,中国台湾,1
中国科学院苏州纳米技术与纳米仿生研究所,中国,4
湖南烁科晶磊半导体科技有限公司 | 中国电子科技集团公司第四十八研究所,中国,1
肇庆学院,中国,1
山东师范大学,中国,2
青岛芯康半导体科技有限公司,中国,5
有研工程技术研究院有限公司,中国,1
厦门钨业股份有限公司,中国,1
周星工程股份有限公司,世界知识产权组织,2
陈梓林,中国,1
武汉拓材科技有限公司,中国,3
窑业技术院 | 韩国电子通信研究院,美国,1
江西兆驰半导体有限公司,中国,3
苏州元脑智能科技有限公司,中国,1
北京镓创科技有限公司,中国,2
信越化学工业株式会社,中国台湾,1
厦门理工学院,中国,2
天津理工大学,中国,3
亮锐公司,世界知识产权组织,2
唐皇哉,中国,2
中国科学院宁波材料技术与工程研究所,中国,5
光渡飞通(苏州)科技有限公司,中国,1
卢密基恩科技股份有限公司,韩国,1
拉脱维亚大学固体物理研究所,拉脱维亚,2
长春师范大学,中国,1
哈佛大学校长及研究员协会 | 塔夫茨学院理事会,美国,1
北京青禾晶元半导体科技有限责任公司 | 青禾晶元(晋城)半导体材料有限公司,中国,2
太原理工大学,中国,6
青禾晶元(天津)半导体材料有限公司,中国,2
桂林电子科技大学,中国,8
山东大学,日本,1
中国科学院上海微系统与信息技术研究所,中国,3
独立行政法人物质材料研究机构,世界知识产权组织,1
重庆理工大学,中国,1
国科大杭州高等研究院,中国,1
北京石油化工学院,中国,1
得克萨斯大学体系董事会,世界知识产权组织,1
山东晶威光电科技有限公司,中国,2
新疆蓝晶新材料科技有限公司 | 东旭科技集团有限公司 | 东旭集团有限公司,中国,1
福建省晋华集成电路有限公司,美国,1
国立大学法人东海国立大学机构 | 旭硝子株式会社,世界知识产权组织,3
西安电子科技大学杭州研究院,中国,1
贝克休斯油田作业有限责任公司,世界知识产权组织,1
江南大学,中国,3
日本碍子株式会社,美国,2
